id,name,userid,ban,column5
1,pepper <a>Creator</a> ,ER23XfVFuPUn5Yh4ZqkZ7zJ7CBM,false,100 extra rewards start up
2,l3333333here,O6BFM2mADfxUXyPadOEUbtSZr5c,false,
3,"Cq <b style=""color:green"">Mod</b>",7vadGoWFLIW0V3NfJfLc1PbDxwY,false,"1,000 extra rewards for standing up for owner"
4,Cq,2ciC/8yojz2qpq9Zxp3cEijgOlc,false,
5,<b>,mNgmkrc0mN0KwuyjthkZQvz1ppQ,false,
6,pepper <a>Creator</a>,JR9nT2rE+FuEJuud8pRItl5tDVc,false,
7,<b>,0AW+wB3MBLgcJDDI6Y40tzRDGJg,false,
8,Ricky,eau0rV8IIYoodm77+qzw0P7OE50,false,
9,Colack ,,false,Got 500  
10,"colack <b style=""color:green"">Mod</b>  ",3fVG5Gc7M7Iu5SxHKWTooYr3/OU,false,Got 450 extra rewards for making new chat branch
11,itsme,pbu2z6wLPOyoMrhkKyu7TyZuyHo,false,
12,"Anthony <b style=""color:green"">Mod</b>",PCOz7+Jj8McTc6bUP/rXeGBjj+c,false,
13,pepper <a>Creator</a>,BGme0wzAnc/lIuO9+idR6BNBUwo,false,
14,peppersucks,/gVoXa0G55uKzylVxxZuiGf2KaY,false,
15,itsme,Ub5Kmjbl4Xb23uYbdqueTOfKK/U,false,
16,Pickle,ta5nSP0IxlonHbWuWuW5r0J1BUs,false,
17,beluga,jSXuqEPbMlw3LrD/WPmgCnt83xI,false,
18,pepper <a>Creator</a>,gRVd3vR9sfWOdK1t6f4jDkkuR0Y,false,
19,Rickroll Detector,OjAi7d5aDnI8Yo4bzBGFkwML9fo,false,
20,l3333here,Q+S0MkNHLg1+jhudaPQfokKpUfY,false,
21,pepper <a>Creator</a>,TPNEZTuZ9e4xGBZ/a9P2f3RLmMI,false,
22,pepper <a>Creator</a>,ekoGNppPu1dx224NbrsOwUWaweU,false,
23,fluffpuff,ise6SdKf/VdOY2f3paaEIpNZtVU,false,
24,pepper <a>Creator</a>,OP0FIahCpA+23cR3exQpLOhcJKg,false,
25,pepper <a>Creator</a>,mFQpIyZUR7DeCraisz6Bo92StRQ,false,
26,pepper,rNuagQuYinH+YnC2b3AdwTL/yxk,false,
